"country","method","user_count","total_cost","verification_success_rate"
"PK","Sms","1096","197.28","0.8823"
"MA","Sms","1511","181.32","0.8776"
"ID","Sms","711","149.48","0.8650"
"EG","Sms","804","102.98","0.8682"
"DZ","Sms","539","70.07","0.8998"
"NG","Sms","221","44.20","0.9864"
"FR","Sms","1320","43.56","0.9424"
"BD","Sms","142","41.18","0.9577"
"TN","Sms","290","37.70","0.9552"
"IN","Sms","485","34.92","0.9608"
"DE","Sms","520","31.20","0.9269"
"SA","Sms","450","27.90","0.8756"
"EG","Whatsapp","324","27.22","0.8981"
"GB","Sms","911","26.18","0.9363"
"IQ","Sms","101","25.80","0.8911"
"SO","Sms","126","22.81","0.9444"
"JO","Sms","96","19.27","0.8021"
"FR","Whatsapp","269","18.29","0.8996"
"MY","Sms","243","17.01","0.8930"
"RU","Sms","93","15.81","0.9677"
"ID","Whatsapp","451","14.43","0.9268"
"PK","Whatsapp","474","14.22","0.9283"
"MA","Whatsapp","526","14.20","0.9411"
"PH","Sms","74","14.06","0.8919"
"ES","Sms","181","13.39","0.9171"
"NL","Sms","254","12.95","0.8976"
"DE","Whatsapp","148","12.73","0.8986"
"KE","Sms","119","12.41","0.9412"
"LY","Sms","34","11.56","0.8529"
"LB","Sms","47","11.23","0.8723"
"KW","Sms","44","10.56","0.9545"
"US","Whatsapp","239","10.28","0.9205"
"SN","Sms","50","10.00","0.9000"
"PS","Sms","27","9.74","0.8148"
"US","Sms","1072","8.15","0.9282"
"IT","Sms","94","7.80","0.9468"
"GB","Whatsapp","199","7.76","0.9095"
"SY","Sms","24","6.96","0.2083"
"ET","Sms","28","6.72","0.9286"
"BE","Sms","140","6.58","0.9214"
"IN","Whatsapp","146","6.28","0.9521"
"GH","Sms","42","6.23","0.9524"
"TR","Sms","230","6.21","0.9304"
"TZ","Sms","31","6.20","0.9677"
"SE","Sms","104","6.05","0.9423"
"SA","Whatsapp","175","5.60","0.8857"
"NL","Whatsapp","77","5.47","0.9091"
"AT","Sms","63","5.42","0.9683"
"CI","Sms","21","5.04","0.0952"
"DZ","Whatsapp","180","4.86","0.8722"
"MY","Whatsapp","105","4.52","0.9429"
"YE","Sms","19","4.47","1.0000"
"OM","Sms","31","4.06","0.7419"
"UG","Sms","20","4.00","1.0000"
"CA","Whatsapp","92","3.96","0.9022"
"IL","Sms","21","3.57","0.9048"
"GM","Sms","27","3.51","0.9630"
"NG","Whatsapp","80","3.44","0.9500"
