"country","method","user_count","total_cost","verification_success_rate_by_country_and_method","total_entries_percent"
"PK","Sms","1096","197.28","0.8823","5.95"
"MA","Sms","1511","181.32","0.8776","8.20"
"ID","Sms","711","149.48","0.8650","3.86"
"EG","Sms","804","102.98","0.8682","4.36"
"DZ","Sms","539","70.07","0.8998","2.93"
"NG","Sms","221","44.20","0.9864","1.20"
"FR","Sms","1320","43.56","0.9424","7.17"
"BD","Sms","142","41.18","0.9577","0.77"
"TN","Sms","290","37.70","0.9552","1.57"
"IN","Sms","485","34.92","0.9608","2.63"
"DE","Sms","520","31.20","0.9269","2.82"
"SA","Sms","450","27.90","0.8756","2.44"
"EG","Whatsapp","324","27.22","0.8981","1.76"
"GB","Sms","911","26.18","0.9363","4.95"
"IQ","Sms","101","25.80","0.8911","0.55"
"SO","Sms","126","22.81","0.9444","0.68"
"JO","Sms","96","19.27","0.8021","0.52"
"FR","Whatsapp","269","18.29","0.8996","1.46"
"MY","Sms","243","17.01","0.8930","1.32"
"RU","Sms","93","15.81","0.9677","0.50"
"ID","Whatsapp","451","14.43","0.9268","2.45"
"PK","Whatsapp","474","14.22","0.9283","2.57"
"MA","Whatsapp","526","14.20","0.9411","2.86"
"PH","Sms","74","14.06","0.8919","0.40"
"ES","Sms","181","13.39","0.9171","0.98"
"NL","Sms","254","12.95","0.8976","1.38"
"DE","Whatsapp","148","12.73","0.8986","0.80"
"KE","Sms","119","12.41","0.9412","0.65"
"LY","Sms","34","11.56","0.8529","0.18"
"LB","Sms","47","11.23","0.8723","0.26"
"KW","Sms","44","10.56","0.9545","0.24"
"US","Whatsapp","239","10.28","0.9205","1.30"
"SN","Sms","50","10.00","0.9000","0.27"
"PS","Sms","27","9.74","0.8148","0.15"
"US","Sms","1072","8.15","0.9282","5.82"
"IT","Sms","94","7.80","0.9468","0.51"
"GB","Whatsapp","199","7.76","0.9095","1.08"
"SY","Sms","24","6.96","0.2083","0.13"
"ET","Sms","28","6.72","0.9286","0.15"
"BE","Sms","140","6.58","0.9214","0.76"
"IN","Whatsapp","146","6.28","0.9521","0.79"
"GH","Sms","42","6.23","0.9524","0.23"
"TR","Sms","230","6.21","0.9304","1.25"
"TZ","Sms","31","6.20","0.9677","0.17"
"SE","Sms","104","6.05","0.9423","0.56"
"SA","Whatsapp","175","5.60","0.8857","0.95"
"NL","Whatsapp","77","5.47","0.9091","0.42"
"AT","Sms","63","5.42","0.9683","0.34"
"CI","Sms","21","5.04","0.0952","0.11"
"DZ","Whatsapp","180","4.86","0.8722","0.98"
"MY","Whatsapp","105","4.52","0.9429","0.57"
"YE","Sms","19","4.47","1.0000","0.10"
"OM","Sms","31","4.06","0.7419","0.17"
"UG","Sms","20","4.00","1.0000","0.11"
"CA","Whatsapp","92","3.96","0.9022","0.50"
"IL","Sms","21","3.57","0.9048","0.11"
"GM","Sms","27","3.51","0.9630","0.15"
"NG","Whatsapp","80","3.44","0.9500","0.43"
"ES","Whatsapp","75","3.23","0.9333","0.41"
"DK","Sms","58","3.07","0.9138","0.31"
"CA","Sms","398","3.02","0.9548","2.16"
"SO","Whatsapp","65","2.80","0.9692","0.35"
"IE","Sms","41","2.71","0.9756","0.22"
"IQ","Whatsapp","63","2.71","0.9206","0.34"
"NO","Sms","41","2.67","0.9024","0.22"
"KZ","Sms","12","2.64","0.8333","0.07"
"TN","Whatsapp","96","2.59","0.9583","0.52"
"UZ","Sms","7","2.52","0.7143","0.04"
"TR","Whatsapp","58","2.49","0.8103","0.31"
"CH","Sms","38","2.47","0.9474","0.21"
"AU","Sms","195","2.34","0.9641","1.06"
"IR","Sms","11","2.31","0.0909","0.06"
"ZA","Sms","56","2.23","0.9821","0.30"
"AZ","Sms","6","2.10","0.1667","0.03"
"BE","Whatsapp","48","2.06","0.9375","0.26"
"ML","Sms","12","1.93","0.9167","0.07"
"CM","Sms","12","1.92","0.9167","0.07"
"AU","Whatsapp","44","1.89","0.9773","0.24"
"MV","Sms","16","1.86","0.8125","0.09"
"RU","Whatsapp","27","1.84","0.8889","0.15"
"AF","Sms","10","1.81","0.8000","0.05"
"MR","Sms","10","1.80","0.9000","0.05"
"KH","Sms","11","1.76","0.8182","0.06"
"FI","Sms","22","1.74","1.0000","0.12"
"KE","Whatsapp","36","1.55","1.0000","0.20"
"BD","Whatsapp","36","1.55","0.9444","0.20"
"SG","Sms","33","1.55","0.8788","0.18"
"SE","Whatsapp","35","1.51","0.8571","0.19"
"UA","Sms","10","1.50","0.6000","0.05"
"JO","Whatsapp","34","1.46","0.8235","0.18"
"ZM","Sms","5","1.25","1.0000","0.03"
"IT","Whatsapp","29","1.25","0.8966","0.16"
"NZ","Sms","12","1.10","1.0000","0.07"
"TD","Sms","5","1.10","0.2000","0.03"
"CD","Sms","6","1.08","1.0000","0.03"
"BG","Sms","9","1.08","0.8889","0.05"
"HK","Sms","14","0.95","0.8571","0.08"
"SL","Sms","5","0.90","1.0000","0.03"
"LK","Sms","3","0.87","1.0000","0.02"
"TT","Sms","5","0.85","1.0000","0.03"
"BH","Sms","23","0.83","0.9130","0.12"
"LB","Whatsapp","19","0.82","0.9474","0.10"
"PL","Sms","20","0.78","1.0000","0.11"
"RS","Sms","4","0.78","1.0000","0.02"
"MX","Sms","12","0.77","0.9167","0.07"
"CO","Sms","17","0.75","0.9412","0.09"
"BA","Sms","10","0.75","0.9000","0.05"
"DJ","Sms","6","0.74","1.0000","0.03"
"MG","Sms","2","0.74","0.0000","0.01"
"KG","Sms","3","0.72","1.0000","0.02"
"XK","Sms","6","0.72","0.6667","0.03"
"RW","Sms","4","0.72","0.5000","0.02"
"BJ","Sms","5","0.71","1.0000","0.03"
"JP","Sms","9","0.71","0.8889","0.05"
"GN","Sms","5","0.70","0.8000","0.03"
"LY","Whatsapp","16","0.69","0.8750","0.09"
"RO","Sms","10","0.68","0.9000","0.05"
"PT","Sms","14","0.67","1.0000","0.08"
"VE","Sms","8","0.67","1.0000","0.04"
"MM","Sms","3","0.66","1.0000","0.02"
"OM","Whatsapp","15","0.65","1.0000","0.08"
"PE","Sms","7","0.65","0.7143","0.04"
"SY","Whatsapp","15","0.65","0.0667","0.08"
"ZW","Sms","3","0.64","0.3333","0.02"
"SI","Sms","4","0.60","1.0000","0.02"
"RE","Sms","4","0.60","1.0000","0.02"
"SN","Whatsapp","14","0.60","1.0000","0.08"
"SD","Sms","2","0.57","1.0000","0.01"
"YE","Whatsapp","13","0.56","1.0000","0.07"
"ZA","Whatsapp","13","0.56","1.0000","0.07"
"CH","Whatsapp","13","0.56","0.9231","0.07"
"CI","Whatsapp","13","0.56","0.0000","0.07"
"TG","Sms","2","0.52","1.0000","0.01"
"AT","Whatsapp","12","0.52","1.0000","0.07"
"GH","Whatsapp","12","0.52","0.9167","0.07"
"TW","Sms","10","0.50","0.7000","0.05"
"GE","Sms","3","0.48","1.0000","0.02"
"BY","Sms","2","0.48","1.0000","0.01"
"GM","Whatsapp","11","0.47","1.0000","0.06"
"TZ","Whatsapp","11","0.47","1.0000","0.06"
"KW","Whatsapp","11","0.47","0.9091","0.06"
"UG","Whatsapp","11","0.47","0.9091","0.06"
"MW","Sms","2","0.44","1.0000","0.01"
"HT","Sms","2","0.44","1.0000","0.01"
"BR","Sms","8","0.44","0.8750","0.04"
"IL","Whatsapp","10","0.43","1.0000","0.05"
"PH","Whatsapp","10","0.43","0.9000","0.05"
"PS","Whatsapp","10","0.43","0.8000","0.05"
"CZ","Sms","7","0.41","1.0000","0.04"
"AR","Sms","5","0.41","0.8000","0.03"
"IE","Whatsapp","9","0.39","1.0000","0.05"
"NO","Whatsapp","9","0.39","1.0000","0.05"
"TH","Sms","14","0.38","1.0000","0.08"
"NP","Sms","2","0.36","1.0000","0.01"
"KR","Sms","8","0.36","0.8750","0.04"
"BF","Sms","3","0.36","0.6667","0.02"
"JP","Whatsapp","8","0.34","1.0000","0.04"
"MT","Sms","5","0.33","0.8000","0.03"
"BB","Sms","2","0.32","0.5000","0.01"
"CY","Sms","4","0.31","1.0000","0.02"
"HU","Sms","4","0.31","0.7500","0.02"
"MX","Whatsapp","7","0.30","1.0000","0.04"
"CO","Whatsapp","7","0.30","0.8571","0.04"
"ET","Whatsapp","7","0.30","0.8571","0.04"
"GY","Sms","2","0.29","0.5000","0.01"
"BI","Sms","1","0.28","1.0000","0.01"
"CL","Sms","5","0.27","1.0000","0.03"
"PT","Whatsapp","6","0.26","1.0000","0.03"
"CD","Whatsapp","6","0.26","1.0000","0.03"
"MR","Whatsapp","6","0.26","1.0000","0.03"
"ML","Whatsapp","6","0.26","1.0000","0.03"
"SG","Whatsapp","6","0.26","0.8333","0.03"
"AL","Sms","3","0.26","0.6667","0.02"
"MN","Sms","1","0.26","0.0000","0.01"
"EE","Sms","3","0.25","0.6667","0.02"
"VN","Sms","2","0.24","0.5000","0.01"
"AZ","Whatsapp","5","0.22","1.0000","0.03"
"CM","Whatsapp","5","0.22","1.0000","0.03"
"DK","Whatsapp","5","0.22","1.0000","0.03"
"LU","Sms","3","0.22","1.0000","0.02"
"TW","Whatsapp","5","0.22","1.0000","0.03"
"BH","Whatsapp","5","0.22","1.0000","0.03"
"TH","Whatsapp","5","0.22","0.8000","0.03"
"GR","Sms","4","0.22","0.5000","0.02"
"CG","Sms","1","0.21","0.0000","0.01"
"PA","Sms","2","0.20","1.0000","0.01"
"LV","Sms","3","0.20","1.0000","0.02"
"YT","Sms","1","0.18","1.0000","0.01"
"AW","Sms","2","0.18","1.0000","0.01"
"DJ","Whatsapp","4","0.17","1.0000","0.02"
"CY","Whatsapp","4","0.17","1.0000","0.02"
"HN","Sms","2","0.17","1.0000","0.01"
"EC","Sms","1","0.17","1.0000","0.01"
"BR","Whatsapp","4","0.17","0.7500","0.02"
"RO","Whatsapp","4","0.17","0.7500","0.02"
"KZ","Whatsapp","4","0.17","0.5000","0.02"
"HR","Sms","2","0.16","1.0000","0.01"
"PF","Sms","1","0.16","1.0000","0.01"
"BG","Whatsapp","3","0.15","1.0000","0.02"
"IS","Sms","2","0.14","1.0000","0.01"
"BO","Sms","1","0.14","1.0000","0.01"
"AM","Sms","1","0.14","1.0000","0.01"
"MK","Sms","2","0.13","1.0000","0.01"
"GQ","Sms","1","0.13","1.0000","0.01"
"MV","Whatsapp","3","0.13","1.0000","0.02"
"TT","Whatsapp","3","0.13","1.0000","0.02"
"AO","Whatsapp","3","0.13","1.0000","0.02"
"FI","Whatsapp","3","0.13","0.6667","0.02"
"UA","Whatsapp","3","0.13","0.6667","0.02"
"DO","Sms","2","0.13","0.5000","0.01"
"BM","Sms","1","0.12","1.0000","0.01"
"CN","Sms","3","0.12","0.6667","0.02"
"LT","Sms","2","0.11","1.0000","0.01"
"KH","Whatsapp","2","0.09","1.0000","0.01"
"KR","Whatsapp","2","0.09","1.0000","0.01"
"MG","Whatsapp","2","0.09","1.0000","0.01"
"KG","Whatsapp","2","0.09","1.0000","0.01"
"MU","Whatsapp","2","0.09","1.0000","0.01"
"NP","Whatsapp","2","0.09","1.0000","0.01"
"GN","Whatsapp","2","0.09","1.0000","0.01"
"GA","Whatsapp","2","0.09","1.0000","0.01"
"RW","Whatsapp","2","0.09","1.0000","0.01"
"BW","Sms","1","0.09","1.0000","0.01"
"BN","Whatsapp","2","0.09","1.0000","0.01"
"BF","Whatsapp","2","0.09","1.0000","0.01"
"UZ","Whatsapp","2","0.09","1.0000","0.01"
"AR","Whatsapp","2","0.09","1.0000","0.01"
"VE","Whatsapp","2","0.09","1.0000","0.01"
"ZM","Whatsapp","2","0.09","1.0000","0.01"
"CN","Whatsapp","2","0.09","0.5000","0.01"
"HK","Whatsapp","2","0.09","0.5000","0.01"
"AO","Sms","1","0.09","0.0000","0.01"
"AF","Whatsapp","2","0.08","1.0000","0.01"
"BN","Sms","4","0.07","1.0000","0.02"
"FO","Sms","1","0.07","0.0000","0.01"
"CU","Sms","1","0.07","0.0000","0.01"
"MD","Sms","1","0.06","1.0000","0.01"
"BS","Sms","1","0.05","1.0000","0.01"
"BJ","Whatsapp","1","0.04","1.0000","0.01"
"PE","Whatsapp","1","0.04","1.0000","0.01"
"PA","Whatsapp","1","0.04","1.0000","0.01"
"DO","Whatsapp","1","0.04","1.0000","0.01"
"TC","Whatsapp","1","0.04","1.0000","0.01"
"TD","Whatsapp","1","0.04","1.0000","0.01"
"BO","Whatsapp","1","0.04","1.0000","0.01"
"TG","Whatsapp","1","0.04","1.0000","0.01"
"PL","Whatsapp","1","0.04","1.0000","0.01"
"FJ","Whatsapp","1","0.04","1.0000","0.01"
"TJ","Whatsapp","1","0.04","1.0000","0.01"
"LA","Whatsapp","1","0.04","1.0000","0.01"
"NE","Whatsapp","1","0.04","1.0000","0.01"
"HU","Whatsapp","1","0.04","1.0000","0.01"
"MW","Whatsapp","1","0.04","1.0000","0.01"
"MT","Whatsapp","1","0.04","1.0000","0.01"
"LK","Whatsapp","1","0.04","1.0000","0.01"
"LT","Whatsapp","1","0.04","1.0000","0.01"
"ME","Whatsapp","1","0.04","1.0000","0.01"
"CR","Sms","1","0.04","1.0000","0.01"
"SD","Whatsapp","1","0.04","1.0000","0.01"
"HR","Whatsapp","1","0.04","1.0000","0.01"
"AM","Whatsapp","1","0.04","1.0000","0.01"
"GR","Whatsapp","1","0.04","0.0000","0.01"
"BI","Whatsapp","1","0.04","0.0000","0.01"
"KM","Whatsapp","1","0.04","0.0000","0.01"
"PR","Sms","1","0.04","0.0000","0.01"
"GE","Whatsapp","1","0.04","0.0000","0.01"
"GD","Whatsapp","1","0.04","0.0000","0.01"
"CG","Whatsapp","1","0.04","0.0000","0.01"
"RE","Whatsapp","1","0.04","0.0000","0.01"
"SL","Whatsapp","1","0.04","0.0000","0.01"
